# lines beginning with '#' are comments for Anki
kfz karzati,kfzati	P1. to draw,pull. P6 to plough	antoine1-02 antoine1-05
pF pfRAti	P9. to fill	antoine1-18
Cid Cinatti	P7. to cut	antoine1-18
dF dfRAti	P9. to tear	antoine1-18
lI linAti	P9. to stick, to adhere	antoine1-18
lU lunAti	P9. to cut	antoine1-18
DA daDAti	P3. to put	antoine1-18
Suz Suzyati	P4. to dry	antoine1-18
vastram	n. garment	antoine1-19
mArgaH	m. path	antoine1-19
hAraH	m. necklace	antoine1-19
Bojanam	n. meal	antoine1-19
mUzakaH	m. mouse	antoine1-19
AhAraH	m. food	antoine1-19
bilam	n. hole	antoine1-19
parAkramaH	m. bravery	antoine1-19
jAlam	n. net	antoine1-19
dantaH	m. tooth	antoine1-19
kftajYatA	f. gratitude	antoine1-19
praBUta	mfn. much,many	antoine1-19
BayaMkara	mfn. fearful	antoine1-19
vizaRRa	mfn. dejected	antoine1-19
alam-kf alaMkaroti	P8. to adorn	antoine1-19
parihartavya	mfn. to be avoided	antoine1-19
sAnandam	ind. joyfully	antoine1-19
uccEH	loudly	ind. antoine1-19
aparADaH	m. offence	antoine1-19
kiyat	pron. how great, how much	antoine1-20
yAvat tAvat	pron. as much as	antoine1-20
guRin	mfn. virtuous	antoine1-20
jYAnin	mfn. learned	antoine1-20
mantrin ( mantrI )	m. minister	antoine1-20
rogin	mfn. sick	antoine1-20
tejasvin	mfn. bright	antoine1-20
svAmin svAmI	m. husband, master	antoine1-20
SaSin SaSI	m. moon	antoine1-20
iyat	pron. so much	antoine1-20
etAvat	pron. so much	antoine1-20
dfQa	mfn. firm	antoine1-20
pfTu	mfn. broad	antoine1-20
kfSa	mfn. thin	antoine1-20
pawu	mfn. clever	antoine1-20
sTira	mfn. steady	antoine1-20
sTUla	mfn. big	antoine1-20
uru	mfn. wide	antoine1-20
kzipta	mfn. quick	antoine1-20
mahat	mfn. great	antoine1-20
Bavat	pron. your honor	antoine1-20
alpa	mfn. little	antoine1-20
antika	mfn. near	antoine1-20
BogaH	m. pleasure	antoine1-20
Buj Bunakti	P7. to enjoy	antoine1-20
tap tapati	P1. to do penance, to burn	antoine1-20
yA yAti	P2. to go	antoine1-20
sarva	pron-adj. all	antoine1-20
balin	mfn. strong	antoine1-20
Danin	mfn. rich	antoine1-20
BImaH	m. Bhima	antoine1-20
tfzRA	f. thirst	antoine1-20
jF jIryati	P4. to grow old,to decay	antoine1-20
#jIvanam	n. life	antoine1-20
brAhmaRaH	m. brahmin	antoine1-20
vittam	n. money	antoine1-20
A-Sri ASrayati	P1. to depend on (+Accusative)	antoine1-20
viGnaH	m. obstacle	antoine1-20
anyaH-anyA-anyad	pron-adj. other (pronominal adj)	antoine1-21-22
#eka	pron-adj. one	antoine1-21-22
para	pron-adj. other	antoine1-21-22
kataraH-katarA-katarad	pron-adj. which of two 	antoine1-21-22
cakfvas	mfn. having done	antoine1-21-22
jagmivas	mfn. having gone	antoine1-21-22
tasTivas	mfn. having stood	antoine1-21-22
ninIvas	mfn. having led	antoine1-21-22
jaGnivas	mfn. having killed	antoine1-21-22
vidvas	mfn. learned (man)	antoine1-21-22
rAjan rAjA	m. king	antoine1-21-22
vartman	n. path	antoine1-21-22
mahiman mahimA	m. greatness	antoine1-21-22
gariman garimA	m. heaviness	antoine1-21-22
preman premA prema	m. n. love	antoine1-21-22
mUrDan  mUrDA	m. head	antoine1-21-22
Atman AtmA	m. self	antoine1-21-22
nAman nAma	n. name	antoine1-21-22
karman karma	n. work	antoine1-21-22
janman janma	n. birth	antoine1-21-22
brahman brahmA brahma	m. n. the Absolute	antoine1-21-22
vyoman vyoma	n. sky	antoine1-21-22
Basman Basma	n. ashes	antoine1-21-22
veSman veSma	n. house	antoine1-21-22
loman loma	n. hair	antoine1-21-22
carman carma	n. skin, leather	antoine1-21-22
Cadman  Cadma	n. disguise, fraud	antoine1-21-22
pratyac	mfn. western, averted	antoine1-21-22
nyac	mfn. downward	antoine1-21-22
samyac	mfn. right, proper	antoine1-21-22
udac	mfn. upward	antoine1-21-22
anvac	mfn. following	antoine1-21-22
vizvac	mfn. pervading	antoine1-21-22
tiryac	mfn. horizontal	antoine1-21-22
parAc	mfn. turned away	antoine1-21-22
prAc	mfn. eastern	antoine1-21-22
avAc	mfn. southern	antoine1-21-22
jyotsnA	f. moonlight	antoine1-21-22
caRqAlaH	m. outcast	antoine1-21-22
vizam	n. poison	antoine1-21-22
vi-DA vidaDAti	P3. to perform, to lay down	antoine1-21-22
vi-ram  viramati	P1. to stop, to cease	antoine1-21-22
#bAlikA	f. girl	antoine1-23
gAyikaH	m. singer	antoine1-23
gAyikA	f. songstress	antoine1-23
gOra - gOrI	mfn. white	antoine1-23
kiSora - kiSorI	mfn. adolescent	antoine1-23
taruRa - taruRI	mfn. youthful	antoine1-23
sadfSa - sadfSI	mfn. like, similar	antoine1-23
vyAGraH	m. tiger	antoine1-23
hariRaH	m. hind = deer	antoine1-23
haMsI	f. female swan	antoine1-23
mayUraH	m. peacock	antoine1-23
mayUrI	f. peahen	antoine1-23
kokilaH - kokilA	mf. cuckoo	antoine1-23
ajaH - ajA	mf. goat	antoine1-23
balAkaH - balAkA	mf. crane	antoine1-23
cawakaH - cawakA	mf. sparrow	antoine1-23
mfnmaya - mfnmayI	mfn. earthen	antoine1-23
cinmaya - cinmayI	mfn. spiritual	antoine1-23
carmamaya - carmamayI	mfn. leathern	antoine1-23
dehaH	m. body	antoine1-23
jarA	f. old age	antoine1-23
rogaH	m. disease	antoine1-23
ahitam	n. harmful deed	antoine1-23
citra	mfn. suprising, strange	antoine1-23
pari-tarj paritarjayati	P1. (causal) to menace, threaten	antoine1-23
pra-hf praharati	P1. to strike	antoine1-23
A-car Acarati	P1. to perform	antoine1-23
kzamin	mfn. forbearing	antoine1-23
dakza	mfn. competent	antoine1-23
svasTa	mfn. sound	antoine1-23
indriyam	n. sense	antoine1-23
pratyudyamaH	m. remedy	antoine1-23
Bavanam	n. house	antoine1-23
guRagrAhin	mfn. appreciative	antoine1-23
aruja	mfn. healthy	antoine1-23
yAvat- tAvat	ind. while	antoine1-23
kIdfSa - kIdfSI	what kind of ?	antoine1-23
AtmaSreyas (AtmaSreyaH)	n. supreme good	antoine1-23
puRyam	n. merit	antoine1-23
sudurlaBa	mfn. very hard to obtain	antoine1-23
prayatnaH	m. effort	antoine1-23
Kananam	n. digging	antoine1-23
anukUla	mfn. favorable	antoine1-23
kzayaH	m. loss, decline	antoine1-23
dUratas	m. ind. far away	antoine1-23
apratihata	mfn. unimpaired	antoine1-23
sam-dIp saMdIpyate	A4. to burn, glow	antoine1-23
kArya	mfn. to be done	antoine1-23
tAdfSa - tAdfSI	mfn. such	antoine1-23
vyAGrI	f. tigress	antoine1-23
hariRI	f. doe = female deer	antoine1-23
amBas amBaH	mn. water	antoine1-23
A-dA Adatte	A3. to receive	antoine1-24
anu-BU anuBavati	P1. to feel, enjoy	antoine1-24
gOtamaH	m. Gautama	antoine1-24
araRyam	n. forest	antoine1-24
skanDaH	m. shoulder	antoine1-24
ni-DA nidaDAti	P3. to put down	antoine1-24
vipraH	m. a brahmin	antoine1-24
kaHcit (kaScit)	pron. a certain	antoine1-24
kaH-api (ko'pi, kimapi, etc.)	pron. a certain	antoine1-24
yajYaH	m. sacrifice	antoine1-24
krI krIRAti	P9. to buy	antoine1-24
vi-krI vikrIRAti	P9. to sell	antoine1-24
CAgaH	m. goat	antoine1-24
DUrtaH	m. rogue	antoine1-24
tataH	m. then	antoine1-24
upAyaH	m. means	antoine1-24
prakarzaH	m. excellence	antoine1-24
talam	n. base, foot	antoine1-24
Agamanam	n. coming	antoine1-24
sASaMkam	ind. with fear	antoine1-24
prati-Ikz pratIkzate	A1. to wait	antoine1-24
pari-Ikz parIkzate	A1. to examine	antoine1-24
aBi-DA aBidaDAti	P3. to address	antoine1-24
kukkuraH	m. dog	antoine1-24
A-karR AkarRayati	P10. to hear, listen	antoine1-24
niHsaMSayam	ind. certainly	antoine1-24
samarTa	mfn. able	antoine1-25
asamarTa	mfn. unable	antoine1-25
Sakya	mfn. capable of being done	antoine1-25
praSamaH	m. cessation	antoine1-25
praSamaM nI nayati	P1. to check	antoine1-25
sAraTiH	m. charioteer	antoine1-25
arh arhati	P1. to deserve	antoine1-25
yat yatate	A1. to strive	antoine1-25
yuj yunakti	P7. to yoke; yujyate = it is proper	antoine1-25
Kid Kidyate	A4. to be depressed	antoine1-25
Sak Saknoti	P5. to be able	antoine1-25
A-ruh Arohati	P1. to mount, to climb	antoine1-25
dozaH	m. fault, defect	antoine1-25
guRavat	mfn. virtuous	antoine1-25
guRarAgin	mfn. lover of virtue	antoine1-25
kalaNkaH	m. spot, mark	antoine1-25
vyADiH	m. disease	antoine1-25
jAtamAtraH	m. hardly born	antoine1-25
vA	ind. or	antoine1-25
anurAgaH	m. love	antoine1-25
samman sammanyate	P4. to think; sammAnayati Caus. to esteem, to honor	antoine1-25
saMsad saMsat	f. assembly	antoine1-25
utsAraRam	n. driving away	antoine1-25
rAjavallaBaH	m. courtier	antoine1-25
atipuzwANgayukta	mfn. strongly built	antoine1-25
pakzin pakzI	m. bird	antoine1-26
senA	f. army	antoine1-26
sEnikaH	m. soldier	antoine1-26
senApatiH	m. general	antoine1-26
Amram	n. mango	antoine1-26
rUpyam	n. rupee	antoine1-26
ARakaH	m. anna (unit of money)	antoine1-26
vEdyaH	m. doctor	antoine1-26
dinam	n. day	antoine1-26
divasaH	m. day	antoine1-26
saptAhaH	m. week	antoine1-26
mAsaH	m. month	antoine1-26
varzam	n. year	antoine1-26
SatAbdam	n. century	antoine1-26
fRam	n. debt	antoine1-26
sajala	mfn. having water	antoine1-26
dvayam	n. pair	antoine1-26
trayam	n. group of three	antoine1-26
catuzwayam	n. group of four	antoine1-26
kzuDArta	mfn. famished	antoine1-26
mahilA	f. woman	antoine1-26
BujagaH	m. serpent	antoine1-26
BujagI	f. female serpent	antoine1-26
aRqaH	m. egg	antoine1-26
buBukzita	mfn. famished	antoine1-26
kzIRa	mfn. lean, emaciated	antoine1-26
nizkaruRa	mfn. pitiless	antoine1-26
puruzaH	m. man	antoine1-26
SrotriyaH	m. learned brahmin	antoine1-26
dIrGasUtratA	f. slowness	antoine1-26
praBavaH	m. origin	antoine1-26
mattaH	ind. ? (Abl.) from me	antoine1-26
yojanam	n. eight miles	antoine1-26
fRadAtf	m. money lender	antoine1-26
yamaH (god of death)	m. Yama	antoine1-26
prARAH	m. pl. life	antoine1-26
BAvasamanvita	mfn. wise	antoine1-26
kroSaH	m. two miles	antoine1-26
sva	mfn.  one's own	antoine1-26
tandrA	f. sluggishness	antoine1-26
sahodaraH	m. brother	antoine1-26
BAgavataH	m. devotee	antoine1-26
buDaH	m. wise man	antoine1-26
vastavya	mfn. to be dwelt in	antoine1-26
hAtavya	mfn. to be avoided	antoine1-26
BUtiH	f. prosperity	antoine1-26
hfdayam	n. heart	antoine1-26
budDiH	f. intelligence	antoine1-26
iha	ind. here	antoine1-26
mUlyam	n. price	antoine1-26
Alasyam	n. laziness	antoine1-26
